Disease,Diet_1,Diet_2,Diet_3,Diet_4,Diet_5
subdural hemorrhage,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
substance-related mental disorder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
syphilis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
syringomyelia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
systemic lupus erythematosis (sle),Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
teething syndrome,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
temporary or benign blood in urine,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
temporomandibular joint disorder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
tendinitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
tension headache,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
testicular cancer,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
testicular disorder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
testicular torsion,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
thoracic aortic aneurysm,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
thoracic outlet syndrome,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
threatened pregnancy,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
thrombocytopenia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
thrombophlebitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
thyroid cancer,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
thyroid disease,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
thyroid nodule,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
tic (movement) disorder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
tietze syndrome,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
tinnitus of unknown cause,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
tonsillar hypertrophy,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
tonsillitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
tooth abscess,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
tooth disorder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
torticollis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
tourette syndrome,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
toxic multinodular goiter,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
toxoplasmosis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
tracheitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
transient ischemic attack,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
trichiasis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
trichinosis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
trichomonas infection,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
tricuspid valve disease,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
trigeminal neuralgia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
trigger finger (finger disorder),Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
tuberculosis,"High-calorie, high-protein diet","Eggs, meat, fish, and legumes",Vitamin B6-rich foods,Fresh fruits and vegetables,Avoid alcohol completely
tuberous sclerosis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
ulcerative colitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
urethral disorder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
urethral stricture,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
urethral valves,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
urethritis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
urge incontinence,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
urinary tract infection,Drink 8+ glasses of water daily,Cranberry juice (unsweetened),Probiotic foods (yogurt),Vitamin C foods,Avoid caffeine and alcohol
urinary tract obstruction,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
uterine atony,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
uterine fibroids,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
uveitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
vacterl syndrome,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
vaginal cyst,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
vaginal yeast infection,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
vaginismus,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
vaginitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
valley fever,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
varicocele of the testicles,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
varicose veins,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
vasculitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
venous insufficiency,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
vertebrobasilar insufficiency,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
vesicoureteral reflux,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
viral exanthem,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
viral hepatitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
viral warts,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
vitamin b12 deficiency,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
vitamin d deficiency,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
vitreous degeneration,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
vitreous hemorrhage,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
vocal cord polyp,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
volvulus,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
vulvar cancer,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
vulvar disorder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
vulvodynia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
wernicke korsakoff syndrome,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
white blood cell disease,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
whooping cough,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
wilson disease,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
yeast infection,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
zenker diverticulum,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
